Bridge_ID,Location,Age (years),Material,Length (m),Width (m),Height (m),Traffic_Volume (vehicles/day),Weather_Conditions,Water_Flow_Rate (m³/s),Maintenance_History,Stress (MPa),Strain (%),Tensile_Strength (MPa),Rainfall (mm),Material_Composition,Bridge_Design,Construction_Quality,Temperature (°C),Humidity (%),Collapse_Status
1,Region_1,26,Steel,50.0,5.0,10.0,100.0,Rainy,0.0,2010-01-01,0.0,0.0,200.0,0.0,"Steel 70%, Concrete 30%",Arch,Good,-30.0,0.0,Standing
2,Region_2,47,Concrete,50.19501950195019,5.004500450045004,10.009000900090008,100.99009900990099,Sunny,0.5000500050005,2010-01-02,0.010001000100010001,0.001000100010001,200.0800080008001,0.05000500050005,"Concrete 80%, Wood 20%",Beam,Good,-29.99199919991999,0.010001000100010001,Standing
3,Region_3,1,Wood,50.39003900390039,5.009000900090009,10.018001800180018,101.98019801980197,Snowy,1.000100010001,2010-01-03,0.020002000200020003,0.002000200020002,200.16001600160016,0.1000100010001,"Concrete 80%, Wood 20%",Truss,Good,-29.983998399839983,0.020002000200020003,Standing
4,Region_4,32,Steel,50.58505850585058,5.013501350135013,10.027002700270026,102.97029702970298,Cloudy,1.5001500150015001,2010-01-04,0.030003000300030003,0.003000300030003,200.24002400240025,0.15001500150015,"Steel 70%, Concrete 30%",Arch,Good,-29.975997599759975,0.030003000300030003,Standing
5,Region_5,27,Concrete,50.78007800780078,5.018001800180018,10.036003600360036,103.96039603960396,Windy,2.000200020002,2010-01-05,0.040004000400040006,0.004000400040004,200.3200320032003,0.2000200020002,"Concrete 80%, Wood 20%",Beam,Good,-29.96799679967997,0.040004000400040006,Standing
6,Region_1,16,Wood,50.975097509750974,5.022502250225022,10.045004500450045,104.95049504950495,Rainy,2.5002500250025,2010-01-06,0.05000500050005001,0.005000500050005001,200.4000400040004,0.25002500250025,"Concrete 80%, Wood 20%",Truss,Good,-29.95999599959996,0.05000500050005001,Standing
7,Region_2,46,Steel,51.17011701170117,5.027002700270027,10.054005400540055,105.94059405940594,Sunny,3.0003000300030003,2010-01-07,0.060006000600060005,0.006000600060006,200.4800480048005,0.3000300030003,"Steel 70%, Concrete 30%",Arch,Good,-29.951995199519953,0.060006000600060005,Standing
8,Region_3,28,Concrete,51.365136513651365,5.031503150315031,10.063006300630063,106.93069306930693,Snowy,3.5003500350035,2010-01-08,0.07000700070007002,0.0070007000700070005,200.56005600560056,0.35003500350035,"Concrete 80%, Wood 20%",Beam,Good,-29.943994399439944,0.07000700070007002,Standing
9,Region_4,17,Wood,51.560156015601564,5.036003600360036,10.072007200720073,107.92079207920793,Cloudy,4.000400040004,2010-01-09,0.08000800080008001,0.008000800080008,200.64006400640065,0.4000400040004,"Concrete 80%, Wood 20%",Truss,Good,-29.935993599359936,0.08000800080008001,Standing
10,Region_5,9,Steel,51.755175517551756,5.0405040504050405,10.081008100810081,108.91089108910892,Windy,4.5004500450045,2010-01-10,0.09000900090009001,0.009000900090009001,200.7200720072007,0.45004500450045004,"Steel 70%, Concrete 30%",Arch,Good,-29.927992799279927,0.09000900090009001,Standing
11,Region_1,8,Concrete,51.95019501950195,5.045004500450045,10.09000900090009,109.9009900990099,Rainy,5.000500050005,2010-01-11,0.10001000100010002,0.010001000100010001,200.8000800080008,0.5000500050005,"Concrete 80%, Wood 20%",Beam,Good,-29.91999199919992,0.10001000100010002,Standing
12,Region_2,1,Wood,52.14521452145215,5.0495049504950495,10.099009900990099,110.89108910891089,Sunny,5.5005500550055,2010-01-12,0.11001100110011001,0.011001100110011002,200.88008800880087,0.55005500550055,"Concrete 80%, Wood 20%",Truss,Good,-29.91199119911991,0.11001100110011001,Standing
13,Region_3,39,Steel,52.34023402340234,5.054005400540054,10.108010801080107,111.88118811881188,Snowy,6.0006000600060005,2010-01-13,0.12001200120012001,0.012001200120012,200.96009600960096,0.6000600060006,"Steel 70%, Concrete 30%",Arch,Good,-29.903990399039905,0.12001200120012001,Standing
14,Region_4,22,Concrete,52.53525352535254,5.058505850585059,10.117011701170117,112.87128712871288,Cloudy,6.5006500650065,2010-01-14,0.13001300130013002,0.013001300130013,201.04010401040105,0.65006500650065,"Concrete 80%, Wood 20%",Beam,Good,-29.895989598959897,0.13001300130013002,Standing
15,Region_5,9,Wood,52.73027302730273,5.063006300630063,10.126012601260125,113.86138613861387,Windy,7.000700070007,2010-01-15,0.14001400140014003,0.014001400140014001,201.12011201120112,0.7000700070007,"Concrete 80%, Wood 20%",Truss,Good,-29.88798879887989,0.14001400140014003,Standing
16,Region_1,5,Steel,52.92529252925293,5.067506750675068,10.135013501350135,114.85148514851485,Rainy,7.5007500750075,2010-01-16,0.15001500150015,0.015001500150015001,201.2001200120012,0.7500750075007501,"Steel 70%, Concrete 30%",Arch,Good,-29.87998799879988,0.15001500150015,Standing
17,Region_2,0,Concrete,53.12031203120312,5.072007200720072,10.144014401440144,115.84158415841584,Sunny,8.000800080008,2010-01-17,0.16001600160016002,0.016001600160016,201.28012801280127,0.8000800080008,"Concrete 80%, Wood 20%",Beam,Good,-29.87198719871987,0.16001600160016002,Standing
18,Region_3,27,Wood,53.31533153315331,5.076507650765077,10.153015301530154,116.83168316831683,Snowy,8.5008500850085,2010-01-18,0.17001700170017003,0.017001700170017002,201.36013601360136,0.85008500850085,"Concrete 80%, Wood 20%",Truss,Good,-29.863986398639863,0.17001700170017003,Standing
19,Region_4,23,Steel,53.51035103510351,5.081008100810081,10.162016201620162,117.82178217821783,Cloudy,9.000900090009,2010-01-19,0.18001800180018002,0.018001800180018002,201.44014401440143,0.9000900090009001,"Steel 70%, Concrete 30%",Arch,Good,-29.855985598559855,0.18001800180018002,Standing
20,Region_5,44,Concrete,53.7053705370537,5.085508550855086,10.171017101710172,118.8118811881188,Windy,9.5009500950095,2010-01-20,0.19001900190019003,0.019001900190019003,201.52015201520152,0.95009500950095,"Concrete 80%, Wood 20%",Beam,Good,-29.84798479847985,0.19001900190019003,Standing
